Year,Modularity,Modularity_in_Range,Num_Communities,Num_Nodes,Num_Edges,Network_Density,Avg_Clustering
2010,0.9989446843268148,No,11149,47859,82544,7.207710602448777e-05,0.725798492824329
2015,0.9953073603354017,No,14266,71789,145114,5.6315708352491794e-05,0.7566868688970537
2020,0.9287162516195187,No,25427,240016,699944,2.430047219886679e-05,0.7468821246242091
